obs	floron	Latijnse naam	
6983	2286	Ligustrum ovalifolium	
6984	736	Ligustrum vulgare	
6989	738	Limonium vulgare	
6990	739	Limosella aquatica	
6991	1706	Linaria repens	
6993	745	Linaria vulgaris	
2606	747	Linum catharticum	
6994	1814	Linum usitatissimum	
2607	748	Liparis loeselii	
6995	752	Lithospermum officinale	
2611	753	Littorella uniflora	
6997	1865	Lobularia maritima	
6998	755	Lolium multiflorum	
6999	756	Lolium perenne	
7001	759	Lonicera periclymenum	
7003	760	Lonicera xylosteum	
7004	761	Lotus corniculatus	
7005	762	Lotus glaber	
7006	763	Lotus pedunculatus	
9304	2465	Lotus 'Sativus'	
7007	1866	Lunaria annua	
196723	1866	Lunaria sp. (verwerkt als L. annua)	
7011	1899	Lupinus polyphyllus	
2616	765	Luronium natans	
7012	766	Luzula campestris	
7013	769	Luzula luzuloides	
7014	1933	Luzula multiflora	
7015	770	Luzula pilosa	
7016	771	Luzula sylvatica	
7019	773	Lycium barbarum	
2617	777	Lycopodiella inundata	
7020	780	Lycopus europaeus	
7021	781	Lysimachia nemorum	
7022	782	Lysimachia nummularia	
7023	1867	Lysimachia punctata	
7024	783	Lysimachia thyrsiflora	
7025	784	Lysimachia vulgaris	
7026	925	Lythrum portula	
7027	785	Lythrum salicaria	
7029	786	Maianthemum bifolium	
7031	1934	Malus sylvestris	
7032	788	Malva alcea	
7033	789	Malva moschata	
7034	790	Malva neglecta	
7036	791	Malva pusilla	
7037	792	Malva sylvestris	
7039	794	Matricaria chamomilla	
7038	796	Matricaria discoidea	
7040	2232	Matteuccia struthiopteris	
7041	797	Medicago arabica	
7042	798	Medicago falcata	
7043	799	Medicago lupulina	
7045	801	Medicago sativa	
16723	802	Medicago x varia	
7046	804	Melampyrum pratense	
7048	808	Melica uniflora	
7049	809	Melilotus albus	
7050	810	Melilotus altissimus	
7052	812	Melilotus officinalis	
7054	813	Mentha aquatica	
7055	814	Mentha arvensis	
7056	815	Mentha longifolia	
17192	1772	Mentha rotundifolia	
2625	818	Mentha suaveolens	
17191	820	Mentha x verticillata	
2626	821	Menyanthes trifoliata	
7058	822	Mercurialis annua	
7059	823	Mercurialis perennis	
7060	824	Mespilus germanica	
7062	826	Milium effusum	
7064	828	Mimulus guttatus	
2629	72	Misopates orontium	
7066	830	Moehringia trinervia	
7067	832	Molinia caerulea	
7068	2427	Montia fontana	
8661	835	Montia minor	
7071	837	Muscari botryoides	
7072	838	Muscari comosum	
7073	839	Mycelis muralis	
7074	840	Myosotis arvensis	
7075	842	Myosotis discolor	
131593	841	Myosotis laxa cespitosa	
7076	843	Myosotis ramosissima	
18920	1922	Myosotis scorpioides laxa cespitosa	
18370	1494	Myosotis scorpioides scorpioides	
7078	846	Myosotis sylvatica	
7518	847	Myosoton aquaticum	
7079	848	Myosurus minimus	
2635	850	Myriophyllum alternifolium	
7081	2497	Myriophyllum aquaticum	
7082	851	Myriophyllum spicatum	
7083	852	Myriophyllum verticillatum	
7084	853	Myrrhis odorata	
7088	2348	Narcissus pseudonarcissus	
2638	857	Nardus stricta	
2639	858	Narthecium ossifragum	
7323	859	Nasturtium microphyllum	
7324	860	Nasturtium officinale	
2609	750	Neottia ovata	
2641	862	Nepeta cataria	
7090	863	Nicandra physalodes	
7098	865	Nuphar lutea	
7099	866	Nymphaea alba	
7102	867	Nymphoides peltata	
20808	509	Odontites serotinus	
7104	868	Oenanthe aquatica	
7105	869	Oenanthe fistulosa	
2645	870	Oenanthe lachenalii	
7107	5457	Oenothera biennis	
16703	5457	Oenothera sp. (verwerkt als O. biennis)	
7109	2412	Oenothera deflexa	
7108	873	Oenothera glazioviana	
17164	2004	Oenothera oakesiana	
9268	876	Ononis repens repens	
2648	877	Ononis repens spinosa	
7114	878	Onopordum acanthium	
7115	879	Ophioglossum vulgatum	
7116	880	Ophrys apifera	
7120	894	Origanum vulgare	
7122	895	Ornithogalum nutans	
7124	896	Ornithogalum umbellatum	
7126	897	Ornithopus perpusillus	
7128	907	Orobanche caryophyllacea	
2659	901	Orobanche minor	
7130	902	Orobanche picridis	
2660	903	Orobanche purpurea	
7131	90	Osmunda regalis	
7132	909	Oxalis acetosella	
7133	910	Oxalis corniculata	
7134	911	Oxalis stricta	
7155	973	Paersicaria lapathifolia	
7137	1715	Panicum capillare	
7138	5461	Panicum dichotomiflorum	
7139	1716	Panicum miliaceum	
7140	914	Papaver argemone	
7141	915	Papaver dubium	
7142	916	Papaver rhoeas	
7143	1819	Papaver somniferum	
7144	917	Parapholis strigosa	
7145	171	Parentucellia viscosa	
7146	919	Parietaria judaica	
7147	918	Parietaria officinalis	
2666	920	Paris quadrifolia	
2667	921	Parnassia palustris	
7148	2102	Parthenocissus inserta	
7150	922	Pastinaca sativa sativa	
2668	923	Pedicularis palustris	
2669	924	Pedicularis sylvatica	
7151	1871	Pentaglottis sempervirens	
7152	967	Persicaria amphibia	
7153	969	Persicaria bistorta	
7154	972	Persicaria hydropiper	
7156	977	Persicaria maculosa	
7157	975	Persicaria minor	
7158	976	Persicaria mitis	
7696	926	Petasitis hybridus	
2672	928	Peucedanum carvifolia	
7163	929	Peucedanum palustre	
7164	1820	Phacelia tanacetifolia	
7165	930	Phalaris arundinacea	
7166	1821	Phalaris canariensis	
7173	931	Phleum arenarium	
9114	932	Phleum pratense	
7175	933	Phragmites australis	
2673	935	Phyteuma spicatum nigrum	
7180	1823	Phytolacca esculenta	
7181	2238	Picea abies	
7186	937	Picris echioides	
7187	938	Picris hieracioides	
7188	939	Pilularia globulifera	
7190	940	Pimpinella major	
7191	941	Pimpinella saxifraga	
7195	2245	Pinus nigra	
7199	943	Pinus sylvestris	
7203	944	Plantago coronopus	
7204	946	Plantago lanceolata	
9294	945	Plantago major intermedia	
7205	947	Plantago major major	
2676	948	Plantago maritima	
2677	949	Plantago media	
2678	950	Platanthera bifolia	
7206	1500	Poa angustifolia	
7207	952	Poa annua	
7210	955	Poa compressa	
7211	956	Poa nemoralis	
7212	957	Poa palustris	
7213	958	Poa pratensis	
7214	959	Poa trivialis	
2681	962	Polygala serpyllifolia	
7219	963	Polygala vulgaris	
7220	964	Polygonatum multiflorum	
7221	965	Polygonatum odoratum	
7222	968	Polygonum aviculare	
20539	5203	Polypodium vulgare\P.interjectum	
7229	980	Populus alba	
7231	2302	Populus balsamifera	
17177	2254	Populus canadensis	
20802	5312	Populus canadensis+ nigra	
7233	983	Populus tremula	
17176	5506	Populus trichocarpa	
17175	981	Populus x canescens	
7234	984	Portulaca oleracea	
2688	985	Potamogeton acutifolius	
7235	986	Potamogeton alpinus	
20470	5193	Potamogeton berchtoldii/pusillus	
2690	989	Potamogeton compressus	
7237	990	Potamogeton crispus	
2691	993	Potamogeton gramineus	
7238	994	Potamogeton lucens	
7239	992	Potamogeton mucronatus	
7240	995	Potamogeton natans	
7241	996	Potamogeton nodosus	
2692	997	Potamogeton obtusifolius	
7242	998	Potamogeton pectinatus	
7243	999	Potamogeton perfoliatus	
7244	1000	Potamogeton polygonifolius	
7246	1003	Potamogeton trichoides	
7247	1005	Potentilla anglica	
7248	1006	Potentilla anserina	
7249	1007	Potentilla argentea	
7250	1008	Potentilla erecta	
7251	5117	Potentilla indica	
7252	1009	Potentilla intermedia	
7253	1726	Potentilla norvegica	
7254	1727	Potentilla recta	
7255	1010	Potentilla reptans	
2696	1011	Potentilla sterilis	
7256	1012	Potentilla supina	
7257	1013	Potentilla tabernaemontani	
7258	1014	Primula elatior	
2697	1015	Primula veris	
7259	1017	Prunella vulgaris	
7261	1018	Prunus avium	
7262	1841	Prunus cerasifera	
7267	1019	Prunus padus	
7269	1020	Prunus serotina	
7270	1021	Prunus spinosa	
7272	364	Pseudofumaria lutea	
7274	2259	Pseudotsuga menziesii	
7275	1022	Pteridium aquilinum	
121022	1023	Puccinellia distans distans	
7277	1025	Puccinellia maritima	
7278	1029	Pulicaria dysenterica	
7279	1030	Pulicaria vulgaris	
7280	1032	Pulmonaria officinalis	
2634	849	Pyrica gale	
2704	1033	Pyrola minor	
2705	1034	Pyrola rotundifolia	
7282	1035	Pyrus communis	
7285	1036	Quercus petraea	
7286	1037	Quercus robur	
7287	1876	Quercus rubra	
2706	1038	Radiola linoides	
7288	1040	Ranunculus acris	
7289	1041	Ranunculus aquatilis	
